time,co2,temp,humidity,tvoc,nox,PM2.5
2026-06-05 14:12:28.897109,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:12:39.885912,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:12:50.877904,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:13:01.874914,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:13:12.883978,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:13:23.871883,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:13:34.847802,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:13:45.845222,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:13:56.845463,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:14:07.844897,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:14:18.853054,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:14:29.829288,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:14:40.844121,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:14:51.811970,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:15:02.785613,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:15:13.794143,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:15:24.779226,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:15:35.778186,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:15:46.763452,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:15:57.764942,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:16:08.749239,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:16:19.725736,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:16:30.732322,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:16:41.738030,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:16:52.724281,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:17:03.716310,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:17:14.699489,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:17:25.657757,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:17:36.630837,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:17:47.579754,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:17:58.573557,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:18:09.554768,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:18:20.558851,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:18:31.566054,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:18:42.562809,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:18:53.596257,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:19:04.562506,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:19:15.538400,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:19:26.496101,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:19:37.487296,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:19:48.468171,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:19:59.453747,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:20:10.461906,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:20:21.470824,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:20:32.485311,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:20:43.454618,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:20:54.442555,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:21:05.435515,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:21:16.418170,444.0,29.6,56.0,108.0,1.0,30.0
2026-06-05 14:21:27.417362,444.0,29.6,56.0,108.0,1.0,30.0
